# CUDA_PROFILE_LOG_VERSION 1.6
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR fffff72ff3b809b8
# CUDA_DEVICE 0 Quadro FX 1700M
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,memTransferSize,sm_cta_launched,branch,divergent_branch,instructions,warp_serialize,cta_launched,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,tlb_hit,tlb_miss
11a888a9c118cfc0,_ZN6thrust6detail6device4cuda6detail9fast_scan16inclusive_updateILj256ENS_10device_ptrIfEEfNS_4plusIfEEEEvT0_jjPT1_T2_,998.24,1407,1,8,1,256,1,1,0,48,6,0,,2,16506,2,82403,0,4,1024,65408,0,196992,0,49248,6,112
11a888a9c1344560,_Z18floor_array_kernelPf,1003.07,1189,1,8192,1,256,1,1,0,32,2,0,,2048,67584,2048,233503,0,4096,0,65536,0,262144,0,65536,92,162
11a888a9c1482d80,_Z21copy_particles_kernel9particlesS_,40545.5,40580,0.333,8192,1,256,1,1,0,112,22,0,,2048,180811,58417,9186231,0,4096,1048576,1366126,12557184,787112,0,1010366,5935,1516
11a888a9c3b8ac60,_Z18time_update_kernel9particlesff,4901.41,5081,0.667,8192,1,256,1,1,0,80,13,0,,2048,182272,2048,1527847,0,4096,0,327680,0,786432,0,327680,541,737
11a888a9c4091620,_Z32apply_azimuth_observation_kernel9particles11observation,4189.79,4365,1,8192,1,256,1,1,0,96,7,0,,2048,198656,2048,1757238,0,4096,0,196608,0,262144,0,196608,329,437
11a888a9c4559980,memcpyHtoD,4.448,3,,,,,,,,,,0,4
11a888a9c455c440,_ZN6thrust6detail6device4cuda6detail13reduce_n_smemINS_10device_ptrIfEEfNS_4plusIfEEEEvT_jPT0_T1_,396.096,574,1,8,1,384,1,1,1536,48,10,0,,2,17594,4,118234,0,4,0,65544,8,0,0,65544,101,157
11a888a9c46164a0,_ZN6thrust6detail6device4cuda6detail13reduce_n_smemIPffNS_4plusIfEEEEvT_jPT0_T1_,14.976,193,0.042,1,1,32,1,1,128,48,10,0,,1,48,3,121,0,1,0,1,0,4,0,1,0,0
11a888a9c4671020,memcpyDtoH,5.728,180,,,,,,,,,,0,4
11a888a9c46f7a60,_Z15multiply_kernelPff,1008.83,1180,1,8192,1,256,1,1,0,32,2,0,,2048,67584,2048,233494,0,4096,0,65536,0,262144,0,65536,94,160
